Name,Display Name,Brands,Brands copy
3136,3136 -  N/A,,
3137,3137 - SINGLETON,,
3138,3138 - SIMMONS AIRLINES,,
3139,3139 -  N/A,,
3140,3140 -  N/A,,
3141,3141 -  N/A,,
3142,3142 -  N/A,,
3143,3143 - SCENIC AIRLINES,,
3144,3144 - VIRGIN ATLANTIC,,
3145,3145 - SAN JUAN AIRLINES,,
3146,3146 - LUXAIR,,
3147,3147 -  N/A,,
3148,3148 -  N/A,,
3149,3149 -  N/A,,
3150,3150 -  N/A,,
3151,3151 - AIR ZAIRE,,
3152,3152 -  N/A,,
3153,3153 -  N/A,,
3154,3154 - PRINCEVILLE,,
3155,3155 -  N/A,,
3156,3156 -  N/A,,
3157,3157 -  N/A,,
3158,3158 -  N/A,,
3159,3159 - PBA,,
3160,3160 -  N/A,,
3161,3161 - ALL NIPPON AIRWAYS,,
3162,3162 -  N/A,,
3163,3163 -  N/A,,
3164,3164 - NORONTAIR,,
3165,3165 - NEW YORK HELICOPTER,,
3166,3166 -  N/A,,
3167,3167 -  N/A,,
3168,3168 -  N/A,,
3169,3169 -  N/A,,
3170,3170 - NOUNT COOK,,
3171,3171 - CANADIAN AIRLINES INTERNATIONAL,,
3172,3172 - NATIONAIR,,
3173,3173 -  N/A,,
3174,3174 -  N/A,,
3175,3175 -  N/A,,
3176,3176 - METROFLIGHT AIRLINES,,
3177,3177 -  N/A,,
3178,3178 - MESA AIR,,
3179,3179 -  N/A,,
3180,3180 -  N/A,,
3181,3181 - MALEV,,
3182,3182 - LOT (POLAND),,
3183,3183 -  N/A,,
3184,3184 - LIAT,,
3185,3185 - LAV (VENEZUELA),,
3186,3186 - LAP (PARAGUAY),,
3187,3187 - LACSA (COSTA RICA),,
3188,3188 -  N/A,,
3189,3189 -  N/A,,
3190,3190 - JUGOSLAV AIR,,
3191,3191 - ISLAND AIRLINES,,
3192,3192 - IRAN AIR,,
3193,3193 - INDIAN AIRLINES,,
3194,3194 -  N/A,,
3195,3195 -  N/A,,
3196,3196 - HAWAIIAN AIR,,
3197,3197 - HAVASU AIRLINES,,
3198,3198 -  N/A,,
3199,3199 -  N/A,,
3200,3200 - FUYANA AIRWAYS,,
3201,3201 -  N/A,,
3202,3202 -  N/A,,
3203,3203 - GOLDEN PACIFIC AIR,,
